62,66
792,851
866,887
919,924
1083,1095
1126,1145
1509,1548
1837,1872
1962,1964
2456,2462
3170,3194
3714,3738
3832,3846
4143,4156
4384,4394
4454,4509
6680,6698
7205,7210
7242,7244
7627,7630
8761,8788
10778,10786
11493,11535
11673,11694
11716,11734
11765,11769
12955,12974
13362,13364
13529,13532
13723,13725
13802,13805
14161,14175
17239,17248
18853,18863
20393,20401
21959,21964
22014,22026
22113,22124
22150,22160
22427,22429
22511,22569
22623,22628
23197,23216
23246,23251
23904,23915
24220,24274
